Country or Area;Commodity - Transaction;Year;Unit;Quantity;Quantity Footnotes;Kmq;Continents
Belgium;Electricity - total solar production;2016;Kilowatt-hours, million;3095;;30528;Europe
Belgium;Electricity - total solar production;2015;Kilowatt-hours, million;3056;;30528;Europe
Belgium;Electricity - total solar production;2014;Kilowatt-hours, million;2886;;30528;Europe
Belgium;Electricity - total solar production;2013;Kilowatt-hours, million;2644;;30528;Europe
Belgium;Electricity - total solar production;2012;Kilowatt-hours, million;2148;;30528;Europe
Belgium;Electricity - total solar production;2011;Kilowatt-hours, million;1169;;30528;Europe
Belgium;Electricity - total solar production;2010;Kilowatt-hours, million;560;;30528;Europe
Belgium;Electricity - total solar production;2009;Kilowatt-hours, million;166;;30528;Europe
Belgium;Electricity - total solar production;2008;Kilowatt-hours, million;42;;30528;Europe
Belgium;Electricity - total solar production;2007;Kilowatt-hours, million;6;;30528;Europe
Belgium;Electricity - total solar production;2006;Kilowatt-hours, million;2;;30528;Europe
Belgium;Electricity - total solar production;2005;Kilowatt-hours, million;1;;30528;Europe
Belgium;Electricity - total solar production;2004;Kilowatt-hours, million;1;;30528;Europe
Benin;Electricity - total solar production;2018;Kilowatt-hours, million;5;;112620;Africa
Benin;Electricity - total solar production;2017;Kilowatt-hours, million;5;;112620;Africa
Benin;Electricity - total solar production;2016;Kilowatt-hours, million;5;;112620;Africa
Benin;Electricity - total solar production;2015;Kilowatt-hours, million;5;;112620;Africa
Bhutan;Electricity - total solar production;2019;Kilowatt-hours, million;678;;47000;Asia
Bhutan;Electricity - total solar production;2018;Kilowatt-hours, million;662;;47000;Asia
Bhutan;Electricity - total solar production;2017;Kilowatt-hours, million;662;;47000;Asia
Bhutan;Electricity - total solar production;2016;Kilowatt-hours, million;662;;47000;Asia
Bhutan;Electricity - total solar production;2015;Kilowatt-hours, million;662;;47000;Asia
Bhutan;Electricity - total solar production;2014;Kilowatt-hours, million;662;;47000;Asia
Bhutan;Electricity - total solar production;2013;Kilowatt-hours, million;662;;47000;Asia
Bhutan;Electricity - total solar production;2012;Kilowatt-hours, million;662;;47000;Asia
Bhutan;Electricity - total solar production;2011;Kilowatt-hours, million;653;;47000;Asia
Bhutan;Electricity - total solar production;2010;Kilowatt-hours, million;545;;47000;Asia
Bhutan;Electricity - total solar production;2009;Kilowatt-hours, million;505;;47000;Asia
Bhutan;Electricity - total solar production;2008;Kilowatt-hours, million;45;;47000;Asia
